state_code,county_fips,county_name,latitude,longitude,county_name_normalized,county_name_base,county_name_base_normalized
OK,40055,Greer County,34.933853,-99.552968,greer county,Greer,greer
OK,40057,Harmon County,34.745971,-99.844194,harmon county,Harmon,harmon
OK,40059,Harper County,36.80035,-99.662805,harper county,Harper,harper
OK,40061,Haskell County,35.232431,-95.109642,haskell county,Haskell,haskell
OK,40063,Hughes County,35.052934,-96.251183,hughes county,Hughes,hughes
OK,40065,Jackson County,34.594006,-99.412235,jackson county,Jackson,jackson
OK,40067,Jefferson County,34.105082,-97.83889,jefferson county,Jefferson,jefferson
OK,40069,Johnston County,34.313455,-96.654254,johnston county,Johnston,johnston
OK,40071,Kay County,36.814885,-97.143862,kay county,Kay,kay
OK,40073,Kingfisher County,35.949436,-97.934557,kingfisher county,Kingfisher,kingfisher
OK,40075,Kiowa County,34.921489,-98.981617,kiowa county,Kiowa,kiowa
OK,40077,Latimer County,34.875137,-95.272262,latimer county,Latimer,latimer
OK,40079,Le Flore County,34.897356,-94.695074,le flore county,Le Flore,le flore
OK,40081,Lincoln County,35.703117,-96.881392,lincoln county,Lincoln,lincoln
OK,40083,Logan County,35.914277,-97.450952,logan county,Logan,logan
OK,40085,Love County,33.957804,-97.245093,love county,Love,love
OK,40087,McClain County,35.016436,-97.449803,mcclain county,McClain,mcclain
OK,40089,McCurtain County,34.117073,-94.766086,mccurtain county,McCurtain,mccurtain
OK,40091,McIntosh County,35.369108,-95.671787,mcintosh county,McIntosh,mcintosh
OK,40093,Major County,36.313119,-98.542015,major county,Major,major
OK,40095,Marshall County,34.027007,-96.770533,marshall county,Marshall,marshall
OK,40097,Mayes County,36.303804,-95.235638,mayes county,Mayes,mayes
OK,40099,Murray County,34.485766,-97.071557,murray county,Murray,murray
OK,40101,Muskogee County,35.617551,-95.383911,muskogee county,Muskogee,muskogee
OK,40103,Noble County,36.384901,-97.236335,noble county,Noble,noble
OK,40105,Nowata County,36.789615,-95.613312,nowata county,Nowata,nowata
OK,40107,Okfuskee County,35.466804,-96.327762,okfuskee county,Okfuskee,okfuskee
OK,40109,Oklahoma County,35.554611,-97.409401,oklahoma county,Oklahoma,oklahoma
OK,40111,Okmulgee County,35.6435,-95.965947,okmulgee county,Okmulgee,okmulgee
OK,40113,Osage County,36.624299,-96.408112,osage county,Osage,osage
OK,40115,Ottawa County,36.835764,-94.802681,ottawa county,Ottawa,ottawa
OK,40117,Pawnee County,36.313704,-96.696669,pawnee county,Pawnee,pawnee
OK,40119,Payne County,36.079225,-96.975255,payne county,Payne,payne
OK,40121,Pittsburg County,34.92554,-95.74813,pittsburg county,Pittsburg,pittsburg
OK,40123,Pontotoc County,34.721421,-96.691804,pontotoc county,Pontotoc,pontotoc
OK,40125,Pottawatomie County,35.211391,-96.957004,pottawatomie county,Pottawatomie,pottawatomie
OK,40127,Pushmataha County,34.377899,-95.408082,pushmataha county,Pushmataha,pushmataha
OK,40129,Roger Mills County,35.708554,-99.741572,roger mills county,Roger Mills,roger mills
OK,40131,Rogers County,36.377794,-95.601383,rogers county,Rogers,rogers
OK,40133,Seminole County,35.158366,-96.602857,seminole county,Seminole,seminole
OK,40135,Sequoyah County,35.502435,-94.750757,sequoyah county,Sequoyah,sequoyah
OK,40137,Stephens County,34.481361,-97.855607,stephens county,Stephens,stephens
OK,40139,Texas County,36.746317,-101.483855,texas county,Texas,texas
OK,40141,Tillman County,34.371085,-98.931701,tillman county,Tillman,tillman
OK,40143,Tulsa County,36.120318,-95.941813,tulsa county,Tulsa,tulsa
OK,40145,Wagoner County,35.963388,-95.514201,wagoner county,Wagoner,wagoner
OK,40147,Washington County,36.704403,-95.906253,washington county,Washington,washington
OK,40149,Washita County,35.289908,-98.992272,washita county,Washita,washita
OK,40151,Woods County,36.726984,-98.863649,woods county,Woods,woods
OK,40153,Woodward County,36.425619,-99.273661,woodward county,Woodward,woodward
OR,41001,Baker County,44.703427,-117.691933,baker county,Baker,baker
OR,41003,Benton County,44.493882,-123.424664,benton county,Benton,benton
OR,41005,Clackamas County,45.160493,-122.195127,clackamas county,Clackamas,clackamas
OR,41007,Clatsop County,46.024509,-123.705037,clatsop county,Clatsop,clatsop
OR,41009,Columbia County,45.941932,-123.081079,columbia county,Columbia,columbia
OR,41011,Coos County,43.18591,-124.094133,coos county,Coos,coos
OR,41013,Crook County,44.163054,-120.371585,crook county,Crook,crook
OR,41015,Curry County,42.466439,-124.210929,curry county,Curry,curry
OR,41017,Deschutes County,43.915118,-121.225575,deschutes county,Deschutes,deschutes
OR,41019,Douglas County,43.286328,-123.154476,douglas county,Douglas,douglas
OR,41021,Gilliam County,45.382955,-120.276246,gilliam county,Gilliam,gilliam
OR,41023,Grant County,44.496326,-119.014057,grant county,Grant,grant
OR,41025,Harney County,43.064449,-118.987169,harney county,Harney,harney
OR,41027,Hood River County,45.511775,-121.655976,hood river county,Hood River,hood river
OR,41029,Jackson County,42.411621,-122.675611,jackson county,Jackson,jackson
OR,41031,Jefferson County,44.645151,-121.178632,jefferson county,Jefferson,jefferson
OR,41033,Josephine County,42.386983,-123.57162,josephine county,Josephine,josephine
OR,41035,Klamath County,42.683761,-121.646168,klamath county,Klamath,klamath
OR,41037,Lake County,42.788401,-120.38979,lake county,Lake,lake
OR,41039,Lane County,43.928334,-122.897581,lane county,Lane,lane
OR,41041,Lincoln County,44.641061,-123.911212,lincoln county,Lincoln,lincoln
OR,41043,Linn County,44.488898,-122.537208,linn county,Linn,linn
OR,41045,Malheur County,43.188625,-117.603191,malheur county,Malheur,malheur
OR,41047,Marion County,44.900898,-122.57626,marion county,Marion,marion
OR,41049,Morrow County,45.425496,-119.602311,morrow county,Morrow,morrow
OR,41051,Multnomah County,45.547711,-122.417363,multnomah county,Multnomah,multnomah
OR,41053,Polk County,44.900372,-123.39864,polk county,Polk,polk
OR,41055,Sherman County,45.399216,-120.678512,sherman county,Sherman,sherman
OR,41057,Tillamook County,45.45589,-123.759299,tillamook county,Tillamook,tillamook
OR,41059,Umatilla County,45.5912,-118.73388,umatilla county,Umatilla,umatilla
OR,41061,Union County,45.304081,-117.999149,union county,Union,union
OR,41063,Wallowa County,45.593753,-117.18558,wallowa county,Wallowa,wallowa
OR,41065,Wasco County,45.164536,-121.165069,wasco county,Wasco,wasco
OR,41067,Washington County,45.553542,-123.097615,washington county,Washington,washington
OR,41069,Wheeler County,44.736415,-120.026861,wheeler county,Wheeler,wheeler
OR,41071,Yamhill County,45.247827,-123.316399,yamhill county,Yamhill,yamhill
PA,42001,Adams County,39.869437,-77.21775,adams county,Adams,adams
PA,42003,Allegheny County,40.469757,-79.980451,allegheny county,Allegheny,allegheny
PA,42005,Armstrong County,40.81238,-79.464129,armstrong county,Armstrong,armstrong
PA,42007,Beaver County,40.68414,-80.350721,beaver county,Beaver,beaver
PA,42009,Bedford County,39.998634,-78.494747,bedford county,Bedford,bedford
PA,42011,Berks County,40.413957,-75.92686,berks county,Berks,berks
PA,42013,Blair County,40.498683,-78.309597,blair county,Blair,blair
PA,42015,Bradford County,41.791504,-76.502123,bradford county,Bradford,bradford
PA,42017,Bucks County,40.336887,-75.10706,bucks county,Bucks,bucks
PA,42019,Butler County,40.913847,-79.918978,butler county,Butler,butler
PA,42021,Cambria County,40.510209,-78.710488,cambria county,Cambria,cambria
PA,42023,Cameron County,41.438291,-78.198323,cameron county,Cameron,cameron
PA,42025,Carbon County,40.918367,-75.705039,carbon county,Carbon,carbon
PA,42027,Centre County,40.909322,-77.847667,centre county,Centre,centre
PA,42029,Chester County,39.974029,-75.749751,chester county,Chester,chester
PA,42031,Clarion County,41.198159,-79.420369,clarion county,Clarion,clarion
PA,42033,Clearfield County,41.006862,-78.477724,clearfield county,Clearfield,clearfield
PA,42035,Clinton County,41.239508,-77.629009,clinton county,Clinton,clinton
