cbsa_code,cbsa_name,cbsa_type,latitude,longitude,principal_city,states,is_metro,cbsa_name_normalized
36180,"Ocean Pines, MD Micro Area",2,38.222133,-75.309931,Ocean Pines,MD,False,"ocean pines, md micro area"
36220,"Odessa, TX Metro Area",1,31.865301,-102.542507,Odessa,TX,True,"odessa, tx metro area"
36260,"Ogden, UT Metro Area",1,41.124342,-111.866933,Ogden,UT,True,"ogden, ut metro area"
36380,"Okeechobee, FL Micro Area",2,27.385592,-80.887388,Okeechobee,FL,False,"okeechobee, fl micro area"
36420,"Oklahoma City, OK Metro Area",1,35.430968,-97.506966,Oklahoma City,OK,True,"oklahoma city, ok metro area"
36460,"Olean, NY Micro Area",2,42.239099,-78.662332,Olean,NY,False,"olean, ny micro area"
36500,"Olympia-Lacey-Tumwater, WA Metro Area",1,46.935822,-122.830152,Olympia-Lacey-Tumwater,WA,True,"olympia-lacey-tumwater, wa metro area"
36540,"Omaha, NE-IA Metro Area",1,41.290459,-95.99997,Omaha,NE-IA,True,"omaha, ne-ia metro area"
36620,"Ontario, OR-ID Micro Area",2,43.225869,-117.619933,Ontario,OR-ID,False,"ontario, or-id micro area"
36660,"Opelousas, LA Micro Area",2,30.583441,-91.989274,Opelousas,LA,False,"opelousas, la micro area"
36700,"Orangeburg, SC Micro Area",2,33.436135,-80.802913,Orangeburg,SC,False,"orangeburg, sc micro area"
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",1,28.434398,-81.35606,Orlando-Kissimmee-Sanford,FL,True,"orlando-kissimmee-sanford, fl metro area"
36780,"Oshkosh-Neenah, WI Metro Area",1,44.085707,-88.668149,Oshkosh-Neenah,WI,True,"oshkosh-neenah, wi metro area"
36820,"Oskaloosa, IA Micro Area",2,41.330797,-92.636366,Oskaloosa,IA,False,"oskaloosa, ia micro area"
36837,"Ottawa, IL Micro Area",2,41.356488,-89.173385,Ottawa,IL,False,"ottawa, il micro area"
36830,"Othello, WA Micro Area",2,47.011238,-118.512861,Othello,WA,False,"othello, wa micro area"
36840,"Ottawa, KS Micro Area",2,38.558019,-95.278962,Ottawa,KS,False,"ottawa, ks micro area"
36940,"Owatonna, MN Micro Area",2,44.015261,-93.220453,Owatonna,MN,False,"owatonna, mn micro area"
37020,"Owosso, MI Micro Area",2,42.951545,-84.146352,Owosso,MI,False,"owosso, mi micro area"
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",1,34.358748,-119.133145,Oxnard-Thousand Oaks-Ventura,CA,True,"oxnard-thousand oaks-ventura, ca metro area"
37120,"Ozark, AL Micro Area",2,31.430654,-85.609476,Ozark,AL,False,"ozark, al micro area"
